ISBN,rating_count,avg_rating
0316666343,176,8.284090909090908
0385504209,139,8.640287769784173
059035342X,108,8.972222222222221
0312195516,106,8.556603773584905
0345337662,100,7.71
043935806X,97,8.97938144329897
0142001740,94,8.861702127659575
0446310786,89,9.01123595505618
0060928336,88,8.136363636363637
044021145X,88,7.954545454545454
0345370775,86,7.651162790697675
0446672211,85,8.447058823529412
0671027360,83,8.08433734939759
0452282152,82,8.085365853658537
0743418174,79,8.025316455696203
067976402X,79,7.949367088607595
0440211727,78,8.076923076923077
0316769487,76,7.578947368421052
0156027321,73,8.178082191780822
0385484518,71,8.816901408450704
0345313860,71,8.309859154929578
0971880107,71,4.183098591549296
0439139597,70,9.271428571428572
0439136350,70,9.2
0439064864,70,8.928571428571429
0316601950,70,8.042857142857143
0786868716,69,8.101449275362318
0440214041,69,7.507246376811594
0446610038,68,7.867647058823529
0375727345,68,7.5588235294117645
0804106304,66,8.136363636363637
0440206154,66,8.121212121212121
0671003755,65,7.569230769230769
0590353403,64,8.921875
0439064872,64,8.796875
0440226430,64,7.71875
044023722X,62,7.758064516129032
0440213525,62,7.629032258064516
0060987103,61,7.852459016393443
0446605239,61,7.704918032786885
0312278586,61,7.524590163934426
0060976845,60,7.65
0312924585,59,8.525423728813559
0671001795,59,8.423728813559322
0671021001,59,7.864406779661017
014028009X,59,7.576271186440678
0345342968,58,8.827586206896552
1400034779,57,8.491228070175438
0060930535,57,8.140350877192983
0375706771,57,8.0
0385335482,56,7.767857142857143
0553279912,56,7.553571428571429
0345361792,55,8.690909090909091
0061009059,55,7.9818181818181815
0553280341,55,7.818181818181818
0060502258,54,7.851851851851852
0440220602,54,7.648148148148148
0345339681,53,8.79245283018868
0312980140,53,8.584905660377359
0842329129,53,8.018867924528301
0385722206,53,7.981132075471698
0440221471,53,7.811320754716981
0399501487,52,8.288461538461538
0439136369,51,8.882352941176471
0316096199,51,8.450980392156863
0312966970,51,8.392156862745098
0060938455,51,8.313725490196079
0060392452,51,8.254901960784315
0316776963,51,8.0
034538475X,51,6.980392156862745
